Order #,SB #,SKU,Item Description,Model,Qty,Category,Unit Retail,Ext. Retail,Brand,UPC,Department,Product Class,Subcategory
1176354,777726,1006562803,Schumacher Pro Automotive 6-Volt/12-Volt 8-Amp/2-Amp Battery Charger and Maintainer with Auto Voltage Detection,SPR1628,1,HARDWARE AND TOOLS,40.6,40.6,Schumacher Electric,,Automotive,,Car Battery Chargers
1176354,778005,1001401408,WHT DECORATIVE PATIO DOOR HANDLE SET (Please be advised that sets may be missing pieces or otherwise incomplete.),C 1178,1,HARDWARE AND TOOLS,40.11,40.11,Prime-Line,,Hardware,,Sliding Door Hardware
1176354,777726,1006207771,BRANDYWINE WHOLE HOUSE PACK SS,32B86HOUSEPACK,1,HARDWARE AND TOOLS,39.49,39.49,,,,,
1176354,778005,1003318810,G450 1400 Lumen LED Flashlight with Twist Focus,21864,1,HARDWARE AND TOOLS,39.45,39.45,Coast,,Tools,,Handheld Flashlights
1176354,777726,1004697097,Pismo Round Matte Black Exterior Entry Door Knob Featuring SmartKey Security with Microban Antimicrobial Technology,97402-849,1,HARDWARE AND TOOLS,39.31,39.31,Kwikset,,Hardware,,Door Knobs
1176354,778005,301971,BUCKET HEAD WET/DRY VAC,BH0100,1,HARDWARE AND TOOLS,39.24,39.24,,,,,
1176354,778005,1002167166,Adjustable Wrench Set (2-Pack) (Please be advised that sets may be missing pieces or otherwise incomplete.),DWHT75497,2,HARDWARE AND TOOLS,19.46,38.92,DEWALT,,Tools,,Hand Tool Sets
1176354,778005,1004470512,Downtown Low Profile Satin Nickel Square Single Cylinder Contemporary Deadbolt featuring SmartKey Security,92580-018,1,HARDWARE AND TOOLS,38.86,38.86,Kwikset,,Hardware,,Door Locks
1176354,778005,1004710606,KW LP SQ DEADBOLT MATTE BLACK,92580-022,1,HARDWARE AND TOOLS,38.86,38.86,,,,,
1176354,777726,1004470512,Downtown Low Profile Satin Nickel Square Single Cylinder Contemporary Deadbolt featuring SmartKey Security,92580-018,1,HARDWARE AND TOOLS,38.86,38.86,Kwikset,,Hardware,,Door Locks
1176354,777726,1004710607,KW LP RND DEADBOTL MATTE BLACK,92580-020,1,HARDWARE AND TOOLS,38.86,38.86,,,,,
1176354,777726,1004710606,KW LP SQ DEADBOLT MATTE BLACK,92580-022,1,HARDWARE AND TOOLS,38.86,38.86,,,,,
1176354,778005,1000029746,HUSKY 25PC SCREWDRIVER SET (Please be advised that sets may be missing pieces or otherwise incomplete.),20210006,1,HARDWARE AND TOOLS,38.65,38.65,,,,,
1176354,778005,1005494014,PORTABLE CROSS CUT,KMA4000,2,HARDWARE AND TOOLS,19.32,38.64,Kreg,,Tools,,Saw Accessories
1176354,777726,1006585323,Work Gear Large/X-Large Knee Sleeve,CFWGKNSLLXL,2,HARDWARE AND TOOLS,19.32,38.64,COPPER FIT,,Health And Wellness,,
1176354,777726,1002697041,24 in. Rip-Cut Aluminum Circular Saw Guide,KMA2685,1,HARDWARE AND TOOLS,38.64,38.64,Kreg,,Tools,,Saw Tracks
1176354,778005,1005923012,1/4 in. Drive Mechanics Tool Set (50-Piece) (Please be advised that sets may be missing pieces or otherwise incomplete.),H50MTS4D,1,HARDWARE AND TOOLS,38.53,38.53,Husky,,Tools,,Hand Tool Sets
1176354,777726,1005923012,1/4 in. Drive Mechanics Tool Set (50-Piece) (Please be advised that sets may be missing pieces or otherwise incomplete.),H50MTS4D,1,HARDWARE AND TOOLS,38.53,38.53,Husky,,Tools,,Hand Tool Sets
1176354,777726,738237,KS SEC TYLO ENTRY SATIN CHROME,400T 26D CP K6,3,HARDWARE AND TOOLS,12.84,38.52,,,,,
1176354,778005,1006197856,HUSKY 22PC INSERT BIT SET W/ WRENCH (Please be advised that sets may be missing pieces or otherwise incomplete.),H22PCWIBS,1,HARDWARE AND TOOLS,38.14,38.14,,,Tools,Hand Tools,Hand Tool Sets
1176354,778005,1006705914,Hard Cap Gel/Foam Stabilizer Knee Pads,1H-30512,1,HARDWARE AND TOOLS,38.04,38.04,Husky,,Safety Equipment,,
1176354,777726,1006705914,Hard Cap Gel/Foam Stabilizer Knee Pads,1H-30512,1,HARDWARE AND TOOLS,38.04,38.04,Husky,,Safety Equipment,,
1176354,777726,1006387525,Halifax Square Matte Black Privacy Bed/Bath Door Handle with Lock,97300-949,1,HARDWARE AND TOOLS,38.02,38.02,Kwikset,,Hardware,Door Hardware,Door Handles
1176354,777726,1006392358,Milan Satin Nickel Privacy Bed/Bath Door Lever,97300-899,1,HARDWARE AND TOOLS,38.02,38.02,Kwikset,,Hardware,,Door Handles
1176354,778005,1001381684,3/8 in. Drive 100-Position Ratchet and Universal SAE/Metric Socket Wrench Set (20-Piece) (Please be advised that sets may be missing pieces or otherwise incomplete.),H1003D20SWS,1,HARDWARE AND TOOLS,37.88,37.88,Husky,,Tools,,Hand Tool Sets
1176354,778005,136340,"""RIDGID 14"""" SEGMENTED DIAMOND BLADE""",HD-MP14G,1,HARDWARE AND TOOLS,37.56,37.56,,,,,
1176354,778005,762003,SIPHON FEED GEN PURPOSE SPRAY GUN,H4920SSG,1,HARDWARE AND TOOLS,37.25,37.25,,,,,
1176354,777726,637165,"""HUSKY 11PC 1/2"""" DR MM DEEP IMPCT SET"" (Please be advised that sets may be missing pieces or otherwise incomplete.)",H2DMMI11PCSR,1,HARDWARE AND TOOLS,37.11,37.11,,,,,
1176354,778005,1006705918,Soft Cap Gel/Foam Stabilizer Knee Pads,1H-30511-2,1,HARDWARE AND TOOLS,36.6,36.6,Husky,,Safety Equipment,,
1176354,777726,1005879362,High Performance Hard Shell Knee Pads,48-73-6030,1,HARDWARE AND TOOLS,36.6,36.6,Milwaukee,,Flooring,,Flooring Tools
